"","sp_angst_lv_1","t_angst_1","t_angst_3","id_nummer","gruppe_3","cluster_group"
"159",2.33333333333333,1.2,1.2,150,"Experimental","low"
"160",1,1.6,1.6,151,"Experimental","low"
"161",2,3.2,1.6,152,"Experimental","high"
"163",1,1.6,1.2,154,"Experimental","low"
"164",1.33333333333333,1.2,1.25,155,"Experimental","low"
"165",1,1,1.8,156,"Kontroll","low"
"166",1.66666666666667,1.8,2.6,157,"Kontroll","low"
"167",2.33333333333333,2,2,158,"Kontroll","high"
"168",1,2.2,2.8,159,"Kontroll","low"
"169",1.5,1.8,1,160,"Kontroll","low"
"170",2.66666666666667,2.6,1.8,161,"Kontroll","high"
"171",2.66666666666667,2,2.6,162,"Kontroll","high"
"172",3.33333333333333,4,3.8,163,"Kontroll","high"
"173",2.33333333333333,3.6,2.8,164,"Kontroll","high"
"174",1,2.2,2.8,165,"Kontroll","low"
"175",1.66666666666667,1.4,2,166,"Kontroll","low"
"176",1.33333333333333,2.4,2.4,167,"Kontroll","low"
"178",1,2.4,2.4,169,"Kontroll","low"
"179",2.33333333333333,2.8,3.2,170,"Kontroll","high"
"180",1,1.2,1.2,171,"Kontroll","low"
"181",3.66666666666667,3.2,3.4,172,"Kontroll","high"
"182",2.33333333333333,2,2,173,"Kontroll","high"
"183",1.33333333333333,2.6,2.2,174,"Kontroll","high"
"184",2,3.2,2.6,175,"Kontroll","high"
"185",2,2.6,2.2,176,"Kontroll","high"
"187",2.33333333333333,2,2.8,177,"Experimental","high"
"188",3.33333333333333,3.8,3,178,"Experimental","high"
"189",2.66666666666667,3,3,179,"Experimental","high"
"190",3,3.6,2.8,180,"Experimental","high"
"191",1.66666666666667,1.4,1.6,181,"Experimental","low"
"192",3.33333333333333,2.6,2.25,182,"Experimental","high"
"193",2,1.6,2.6,183,"Experimental","low"
"194",2.33333333333333,2.2,2.6,184,"Experimental","high"
"195",2.33333333333333,1.6,2.8,185,"Experimental","low"
"196",2.33333333333333,2,3,186,"Experimental","high"
"197",1.33333333333333,1.4,1.2,187,"Experimental","low"
"198",2,2.4,2.2,188,"Experimental","high"
"199",2,2.2,1.8,189,"Experimental","high"
"200",1.66666666666667,1.6,1.2,190,"Experimental","low"
"201",2,1.6,1.6,191,"Experimental","low"
"202",1,3,1.6,192,"Experimental","high"
"203",2,1.2,1.4,193,"Experimental","low"
"204",1.33333333333333,2,1.8,194,"Experimental","low"
"205",1,2.2,2,195,"Experimental","low"
"206",1,1,1.2,195.1,"Experimental","low"
"207",1.33333333333333,2.2,1.4,195.2,"Experimental","low"
"208",1.33333333333333,1.4,1.4,196,"Experimental","low"
"209",1,2,1.4,197,"Experimental","low"
"210",1,1,1,198,"Experimental","low"
"211",2.33333333333333,2.2,2.2,199,"Experimental","high"
"212",1,1,1,200,"Experimental","low"
"213",1.33333333333333,2,1.4,201,"Experimental","low"
"214",1.33333333333333,1,1,202,"Experimental","low"
"215",2,3.2,1.4,203,"Experimental","high"
"216",1.66666666666667,1,1.2,204,"Experimental","low"
"217",1.5,2,3.2,205,"Experimental","low"
"218",1,2.75,3.2,206,"Experimental","low"
"219",2.33333333333333,2.8,2,207,"Experimental","high"
"220",1,2.4,1.6,208,"Experimental","low"
"221",2,2.4,3,209,"Experimental","high"
"222",1,1,1,210,"Experimental","low"
"223",2.33333333333333,2.8,2.6,211,"Experimental","high"
"224",1.66666666666667,2.2,2.4,212,"Experimental","low"
"225",1.33333333333333,1.8,2,213,"Experimental","low"
"226",1,1.4,1.8,214,"Experimental","low"
"227",3.66666666666667,3.6,3,215,"Experimental","high"
"228",1,1.2,1.4,216,"Experimental","low"
"229",3,3.4,2.8,217,"Experimental","high"
"230",2,3.2,2.6,218,"Experimental","high"
"231",2.66666666666667,2.2,2.6,219,"Experimental","high"
"232",1.66666666666667,2,1.2,220,"Experimental","low"
"233",1,1.8,1.8,221,"Experimental","low"
"234",1,2.8,3,222,"Experimental","high"
"235",1.66666666666667,1.6,2.8,223,"Experimental","low"
"236",1,1.6,1.2,224,"Experimental","low"
"237",1.33333333333333,1.4,2.2,225,"Experimental","low"
"238",1.33333333333333,1.4,1,226,"Experimental","low"
"239",1.66666666666667,1.6,1.4,227,"Experimental","low"
"240",1.66666666666667,1.2,1,228,"Experimental","low"
"241",2,2.2,3.2,229,"Experimental","high"
"242",2.33333333333333,1.8,1.2,230,"Experimental","low"
"243",1.33333333333333,1.5,1,231,"Experimental","low"
"244",2.33333333333333,2,1.8,232,"Experimental","high"
"245",1.66666666666667,1.4,1.6,233,"Experimental","low"
"246",1.33333333333333,1.2,1,234,"Experimental","low"
"247",1.33333333333333,2,1.8,235,"Experimental","low"
"248",2,1.6,1.2,236,"Experimental","low"
"249",1.66666666666667,1.4,2.2,237,"Experimental","low"
"250",1.33333333333333,1.4,1,238,"Experimental","low"
"252",2,1.5,1.6,240,"Experimental","low"
"253",1.66666666666667,1,1.6,241,"Experimental","low"
"254",1.33333333333333,1,1,242,"Experimental","low"
"255",2.33333333333333,1.6,1.5,243,"Experimental","low"
"256",1.66666666666667,1.4,1.4,244,"Experimental","low"
"257",1.33333333333333,3.4,1.8,245,"Experimental","high"
"258",2,3,2.6,246,"Experimental","high"
"259",2,1.8,2.2,247,"Experimental","low"
"260",3,2,2.2,248,"Experimental","high"
"261",1.66666666666667,2.4,2.8,249,"Experimental","high"
"262",2.33333333333333,1.8,1.4,250,"Experimental","low"
"263",1.33333333333333,1.2,1,251,"Experimental","low"
"265",1.66666666666667,2.4,2.4,253,"Experimental","high"
"266",1.66666666666667,1.2,1.2,254,"Experimental","low"
"267",2.33333333333333,1.4,1.4,255,"Experimental","low"
"268",1,1.6,1,256,"Experimental","low"
"269",1.33333333333333,2.6,2,257,"Experimental","high"
"291",1.33333333333333,3,3,279,"Kontroll","high"
"292",1.66666666666667,1.5,2.2,280,"Kontroll","low"
"293",2.33333333333333,3.2,2.4,281,"Kontroll","high"
"294",1.66666666666667,2.6,3.4,282,"Kontroll","high"
"295",2.33333333333333,3,2.4,283,"Kontroll","high"
"296",1,2.4,2.6,284,"Kontroll","low"
"297",1.66666666666667,2.2,2,285,"Kontroll","low"
"298",1,2.6,2.4,286,"Kontroll","low"
"299",2,2,1.8,287,"Kontroll","low"
"300",1.33333333333333,1.6,1,288,"Kontroll","low"
"301",1,2.6,2.4,289,"Kontroll","low"
